district,candidate,party,total_votes,won
Georgia's 11th district,Barry Loudermilk,REP,245259,TRUE
Georgia's 11th district,Dana Barrett,DEM,160623,FALSE
Georgia's 12th district,Rick Allen,REP,181038,TRUE
Georgia's 12th district,Liz Johnson,DEM,129061,FALSE
Georgia's 12th district, Write-ins,WRI,0,FALSE
Georgia's 13th district,David Scott,DEM,279045,TRUE
Georgia's 13th district,Becky Hites,REP,81476,FALSE
Georgia's 14th district,Marjorie Taylor Greene,REP,229827,TRUE
Georgia's 14th district,Kevin Van Ausdal,DEM,77798,FALSE
Georgia's 14th district, Write-ins,WRI,323,FALSE
Hawaii's 1st district,Ed Case,DEM,183245,TRUE
Hawaii's 1st district,Ron Curtis,REP,71188,FALSE
Hawaii's 2nd district,Kai Kahele,DEM,171517,TRUE
Hawaii's 2nd district,Joe Akana,REP,84027,FALSE
Hawaii's 2nd district,Michelle Tippens,LIB,6785,FALSE
Hawaii's 2nd district,Jonathan Hoomanawanui,ALO,6453,FALSE
Hawaii's 2nd district,Ron Burrus,NPT,2659,FALSE
Hawaii's 2nd district,John Giuffre,SHP,661,FALSE
Idaho's 1st district,Russ Fulcher,REP,310736,TRUE
Idaho's 1st district,Rudy Soto,DEM,131380,FALSE
Idaho's 1st district,Joe Evans,LIB,16453,FALSE
Idaho's 2nd district,Mike Simpson,REP,250668,TRUE
Idaho's 2nd district,Aaron Swisher,DEM,124151,FALSE
Idaho's 2nd district, Pro-Life,CST,8573,FALSE
Idaho's 2nd district,Idaho Law,LIB,7940,FALSE
Illinois's 1st district,Bobby Rush,DEM,239943,TRUE
Illinois's 1st district,Philanise White,REP,85018,FALSE
Illinois's 2nd district,Robin Kelly,DEM,234896,TRUE
Illinois's 2nd district,Theresa Raborn,REP,63142,FALSE
Illinois's 3rd district,Marie Newman,DEM,172997,TRUE
Illinois's 3rd district,Mike Fricilone,REP,133851,FALSE
Illinois's 4th district,"Jesus ""Chuy"" Garcia",DEM,187219,TRUE
Illinois's 4th district,Jesus Solorio,REP,35518,FALSE
Illinois's 5th district,Mike Quigley,DEM,255661,TRUE
Illinois's 5th district,Tom Hanson,REP,96200,FALSE
Illinois's 5th district,Thomas Wilda,GRN,9408,FALSE
Illinois's 6th district,Sean Casten,DEM,213351,TRUE
Illinois's 6th district,Jeanne Ives,REP,183583,FALSE
Illinois's 6th district,Bill Redpath,LIB,7067,FALSE
Illinois's 7th district,Danny Davis,DEM,249383,TRUE
Illinois's 7th district,Craig Cameron,REP,41390,FALSE
Illinois's 7th district,Tracy Jennings,IND,19355,FALSE
Illinois's 8th district,Raja Krishnamoorthi,DEM,186251,TRUE
Illinois's 8th district,Preston Nelson,LIB,68327,FALSE
Illinois's 9th district,Jan Schakowsky,DEM,262045,TRUE
Illinois's 9th district,Sargis Sangari,REP,107125,FALSE
Illinois's 10th district,Brad Schneider,DEM,198969,TRUE
Illinois's 10th district,Valerie Mukherjee,REP,113104,FALSE
Illinois's 10th district, Write-ins,WRI,0,FALSE
Illinois's 11th district,Bill Foster,DEM,194557,TRUE
Illinois's 11th district,Rick Laib,REP,112807,FALSE
Illinois's 12th district,Mike Bost,REP,193034,TRUE
Illinois's 12th district,Raymond Lenzi,DEM,125827,FALSE
Illinois's 13th district,Rodney Davis,REP,180689,TRUE
Illinois's 13th district,Betsy Londrigan,DEM,150851,FALSE
Illinois's 14th district,Lauren Underwood,DEM,202663,TRUE
Illinois's 14th district,Jim Oberweis,REP,197493,FALSE
Illinois's 15th district,Mary Miller,REP,231149,TRUE
Illinois's 15th district,Erika Weaver,DEM,91636,FALSE
Illinois's 16th district,Adam Kinzinger,REP,218839,TRUE
Illinois's 16th district,Dani Brzozowski,DEM,119313,FALSE
Illinois's 16th district, Write-ins,WRI,168,FALSE
Illinois's 17th district,Cheri Bustos,DEM,156011,TRUE
Illinois's 17th district,Esther Joy King,REP,143863,FALSE
Illinois's 18th district,Darin LaHood,REP,261840,TRUE
Illinois's 18th district,George Petrilli,DEM,110039,FALSE
Indiana's 1st district,Frank Mrvan,DEM,185180,TRUE
Indiana's 1st district,Mark Leyva,REP,132247,FALSE
Indiana's 1st district,Michael Strauss,LIB,9521,FALSE
Indiana's 2nd district,Jackie Walorski,REP,183601,TRUE
Indiana's 2nd district,Patricia Hackett,DEM,114967,FALSE
Indiana's 3rd district,Jim Banks,REP,220989,TRUE
Indiana's 3rd district,Chip Coldiron,DEM,104762,FALSE
Indiana's 4th district,Jim Baird,REP,225531,TRUE
Indiana's 4th district,Joe Mackey,DEM,112984,FALSE
Indiana's 5th district,Victoria Spartz,REP,208212,TRUE
Indiana's 5th district,Christina Hale,DEM,191226,FALSE
Indiana's 5th district,Ken Tucker,LIB,16788,FALSE
Indiana's 6th district,Greg Pence,REP,225318,TRUE
Indiana's 6th district,Jeannine Lake,DEM,91103,FALSE
Indiana's 6th district,Tom Ferkinhoff,LIB,11791,FALSE
Indiana's 7th district,Andre Carson,DEM,176422,TRUE
Indiana's 7th district,Susan Smith,REP,106146,FALSE
Indiana's 8th district,Larry Bucshon,REP,214643,TRUE
Indiana's 8th district,Thomasina Marsili,DEM,95691,FALSE
Indiana's 8th district,James Rodenberger,LIB,10283,FALSE
Indiana's 9th district,Trey Hollingsworth,REP,222054,TRUE
Indiana's 9th district,Andy Ruff,DEM,122564,FALSE
Indiana's 9th district,Tonya Millis,LIB,14415,FALSE
Iowa's 1st district,Ashley Hinson,REP,212088,TRUE
Iowa's 1st district,Abby Finkenauer,DEM,201347,FALSE
Iowa's 2nd district,Mariannette Miller-Meeks,REP,196964,TRUE
Iowa's 2nd district,Rita Hart,DEM,196958,FALSE
Iowa's 3rd district,Cindy Axne,DEM,219205,TRUE
Iowa's 3rd district,David Young,REP,212997,FALSE
Iowa's 3rd district,Bryan Holder,LIB,15361,FALSE
Iowa's 4th district,Randy Feenstra,REP,237369,TRUE
Iowa's 4th district,J.D. Scholten,DEM,144761,FALSE
Kansas's 1st district,Tracey Mann,REP,208229,TRUE
Kansas's 1st district,Kali Barnett,DEM,84393,FALSE
Kansas's 2nd district,Jake LaTurner,REP,185464,TRUE
Kansas's 2nd district,Michelle De La Isla,DEM,136650,FALSE
Kansas's 2nd district,Robert Garrard,LIB,14201,FALSE
Kansas's 3rd district,Sharice Davids,DEM,220049,TRUE
Kansas's 3rd district,Amanda Adkins,REP,178773,FALSE
Kansas's 3rd district,Steven Hohe,LIB,11596,FALSE
Kansas's 4th district,Ron Estes,REP,203432,TRUE
Kansas's 4th district,Laura Lombard,DEM,116166,FALSE
Kentucky's 1st district,James Comer,REP,246329,TRUE
Kentucky's 1st district,James Rhodes,DEM,82141,FALSE
Kentucky's 1st district, Write-ins,WRI,0,FALSE
Kentucky's 2nd district,Brett Guthrie,REP,255735,TRUE
Kentucky's 2nd district,Hank Linderman,DEM,94643,FALSE
Kentucky's 2nd district,Robert Perry,LIB,7588,FALSE
Kentucky's 2nd district,Lewis Carter,POP,2431,FALSE
Kentucky's 2nd district, Write-ins,WRI,2,FALSE
Kentucky's 3rd district,John Yarmuth,DEM,230672,TRUE
Kentucky's 3rd district,Rhonda Palazzo,REP,137425,FALSE
Kentucky's 3rd district, Write-ins,WRI,0,FALSE
Kentucky's 4th district,Thomas Massie,REP,256613,TRUE
Kentucky's 4th district,Alexandra Owensby,DEM,125896,FALSE
Kentucky's 4th district, Write-ins,WRI,0,FALSE
Kentucky's 5th district,Hal Rogers,REP,250914,TRUE
Kentucky's 5th district,Matthew Best,DEM,47056,FALSE
Kentucky's 5th district, Write-ins,WRI,7,FALSE
Kentucky's 6th district,Andy Barr,REP,216948,TRUE
Kentucky's 6th district,Josh Hicks,DEM,155011,FALSE
Kentucky's 6th district,Frank Harris,LIB,6491,FALSE
Kentucky's 6th district, Write-ins,WRI,0,FALSE
Louisiana's 1st district,Steve Scalise,REP,270330,TRUE
Louisiana's 1st district,Lee Ann Dugas,DEM,94730,FALSE
Louisiana's 1st district,Howard Kearney,LIB,9309,FALSE
Louisiana's 2nd district,Cedric Richmond,DEM,201636,TRUE
Louisiana's 2nd district,David Schilling,REP,47575,FALSE
Louisiana's 2nd district,Glenn Harris,DEM,33684,FALSE
Louisiana's 2nd district,Sheldon Vincent,REP,15565,FALSE
Louisiana's 2nd district,Belden Batiste,IND,12268,FALSE
Louisiana's 2nd district,Colby James,IND,6254,FALSE
Louisiana's 3rd district,Clay Higgins,REP,230480,TRUE
Louisiana's 3rd district,Braylon Harris,DEM,60852,FALSE
Louisiana's 3rd district,Rob Anderson,DEM,39423,FALSE
Louisiana's 3rd district,Brandon Leleux,LIB,9365,FALSE
Louisiana's 4th district,Mike Johnson,REP,185265,TRUE
Louisiana's 4th district,Kenny Houston,DEM,78157,FALSE
Louisiana's 4th district,Ryan Trundle,DEM,23813,FALSE
Louisiana's 4th district,Ben Gibson,REP,19343,FALSE
Louisiana's 5th district,Luke Letlow,REP,102533,TRUE
Louisiana's 5th district,Lance Harris,REP,51240,FALSE
Louisiana's 5th district,Candy Christophe,DEM,50812,FALSE
Louisiana's 5th district,Martin Lemelle,DEM,32186,FALSE
Louisiana's 5th district,Scotty Robinson,REP,23887,FALSE
Louisiana's 5th district,Allen Guillory,REP,22496,FALSE
Louisiana's 5th district,Matt Hasty,REP,9834,FALSE
Louisiana's 5th district,Phillip Snowden,DEM,9432,FALSE
Louisiana's 5th district,Jesse Lagarde,DEM,7136,FALSE
Louisiana's 6th district,Garret Graves,REP,265706,TRUE
Louisiana's 6th district,Dartanyon Williams,DEM,95541,FALSE
Louisiana's 6th district,Shannon Sloan,LIB,9732,FALSE
Louisiana's 6th district,Richard Torregano,NPA,3017,FALSE
Maine's 1st district,Chellie Pingree,DEM,268214,TRUE
Maine's 1st district,Jay Allen,REP,164539,FALSE
Maine's 1st district, Write-ins,WRI,15,FALSE
Maine's 2nd district,Jared Golden,DEM,195854,TRUE
Maine's 2nd district,Dale Crafts,REP,174196,FALSE
Maine's 2nd district, Write-ins,WRI,2885,FALSE
Maryland's 1st district,Andy Harris,REP,250901,TRUE
Maryland's 1st district,Mia Mason,DEM,143877,FALSE
Maryland's 2nd district,Dutch Ruppersberger,DEM,224836,TRUE
Maryland's 2nd district,Johnny Salling,REP,106355,FALSE
Maryland's 3rd district,John Sarbanes,DEM,260358,TRUE
Maryland's 3rd district,Charles Anthony,REP,112117,FALSE
Maryland's 4th district,Anthony Brown,DEM,282119,TRUE
Maryland's 4th district,George McDermott,REP,71671,FALSE
Maryland's 5th district,Steny Hoyer,DEM,274210,TRUE
Maryland's 5th district,Chris Palombi,REP,123525,FALSE
Maryland's 6th district,David Trone,DEM,215540,TRUE
Maryland's 6th district,Neil Parrott,REP,143599,FALSE
Maryland's 6th district,George Gluck,GRN,6893,FALSE
Maryland's 7th district,Kweisi Mfume,DEM,237084,TRUE
Maryland's 7th district,Kimberly Klacik,REP,92825,FALSE
Maryland's 7th district, Write-ins,WRI,74,FALSE
Maryland's 8th district,Jamie Raskin,DEM,274716,TRUE
Maryland's 8th district,Gregory Coll,REP,127157,FALSE
Massachusetts's 1st district,Richard Neal,DEM,275376,TRUE
Massachusetts's 1st district, Write-ins,WRI,9956,FALSE
Massachusetts's 2nd district,Jim McGovern,DEM,252304,TRUE
Massachusetts's 2nd district,Tracy Lovvorn,REP,127281,FALSE
Massachusetts's 2nd district, Write-ins,WRI,551,FALSE
Massachusetts's 3rd district,Lori Trahan,DEM,245840,TRUE
Massachusetts's 3rd district, Write-ins,WRI,7462,FALSE
Massachusetts's 4th district,Jake Auchincloss,DEM,214977,TRUE
Massachusetts's 4th district,Julie Hall,REP,147243,FALSE
Massachusetts's 4th district, Write-ins,WRI,1690,FALSE
Massachusetts's 5th district,Katherine Clark,DEM,275104,TRUE
Massachusetts's 5th district,Caroline Colarusso,REP,96783,FALSE
Massachusetts's 5th district, Write-ins,WRI,1783,FALSE
Massachusetts's 6th district,Seth Moulton,DEM,265720,TRUE
Massachusetts's 6th district,John Moran,REP,138621,FALSE
Massachusetts's 6th district, Write-ins,WRI,674,FALSE
Massachusetts's 7th district,Ayanna Pressley,DEM,128137,TRUE
Massachusetts's 7th district,Roy Owens,IND,20808,FALSE
Massachusetts's 7th district, Write-ins,WRI,1259,FALSE
Massachusetts's 8th district,Stephen Lynch,DEM,248611,TRUE
Massachusetts's 8th district,Jonathan Lott,IND,60930,FALSE
Massachusetts's 8th district, Write-ins,WRI,1656,FALSE
Massachusetts's 9th district,Bill Keating,DEM,256158,TRUE
Massachusetts's 9th district,Helen Brady,REP,152416,FALSE
Massachusetts's 9th district,Michael Manley,IND,9629,FALSE
Massachusetts's 9th district, Write-ins,WRI,906,FALSE
Michigan's 1st district,Jack Bergman,REP,256581,TRUE
Michigan's 1st district,Dana Ferguson,DEM,153328,FALSE
Michigan's 1st district,Ben Boren,LIB,6310,FALSE
Michigan's 2nd district,Bill Huizenga,REP,238711,TRUE
Michigan's 2nd district,Bryan Berghoef,DEM,154122,FALSE
Michigan's 2nd district,Max Riekse,LIB,5292,FALSE
Michigan's 2nd district,Jean-Michel Creviere,GRN,2646,FALSE
Michigan's 2nd district,Gerald Van Sickle,TAX,2476,FALSE
Michigan's 3rd district,Peter Meijer,REP,213649,TRUE
Michigan's 3rd district,Hillary Scholten,DEM,189769,FALSE
Michigan's 4th district,John Moolenaar,REP,242621,TRUE
Michigan's 4th district,Jerry Hilliard,DEM,120802,FALSE
Michigan's 4th district,David Canny,LIB,5374,FALSE
Michigan's 4th district,Amy Slepr,GRN,4448,FALSE
Michigan's 5th district,Daniel Kildee,DEM,196599,TRUE
Michigan's 5th district,Tim Kelly,REP,150772,FALSE
Michigan's 5th district,Kathy Goodwin,WCP,8180,FALSE
Michigan's 5th district,James Harris,LIB,5481,FALSE
Michigan's 6th district,Fred Upton,REP,211496,TRUE
Michigan's 6th district,Jon Hoadley,DEM,152085,FALSE
Michigan's 6th district,Jeff DePoy,LIB,10399,FALSE
Michigan's 6th district,John Lawrence,GRN,4440,FALSE
Michigan's 7th district,Tim Walberg,REP,227524,TRUE
Michigan's 7th district,Gretchen Driskell,DEM,159743,FALSE
Michigan's 8th district,Elissa Slotkin,DEM,217922,TRUE
Michigan's 8th district,Paul Junge,REP,202525,FALSE
Michigan's 8th district,Joe Hartman,LIB,7897,FALSE
Michigan's 9th district,Andy Levin,DEM,230318,TRUE
Michigan's 9th district,Charles Langworthy,REP,153296,FALSE
Michigan's 9th district,Andrea Kirby,WCP,8970,FALSE
Michigan's 9th district,Mike Saliba,LIB,6532,FALSE
Michigan's 10th district,Lisa McClain,REP,271607,TRUE
Michigan's 10th district,Kimberly Bizon,DEM,138179,FALSE
Michigan's 11th district,Haley Stevens,DEM,226128,TRUE
Michigan's 11th district,Eric Esshaki,REP,215405,FALSE
Michigan's 11th district,Leonard Schwartz,LIB,8936,FALSE
Michigan's 12th district,Debbie Dingell,DEM,254957,TRUE
Michigan's 12th district,Jeff Jones,REP,117719,FALSE
Michigan's 12th district,Gary Walkowicz,WCP,11147,FALSE
Michigan's 13th district,Rashida Tlaib,DEM,223205,TRUE
Michigan's 13th district,David Dudenhoefer,REP,53311,FALSE
Michigan's 13th district,Sam Johnson,WCP,5284,FALSE
Michigan's 13th district,Etta Wilcoxon,GRN,2105,FALSE
Michigan's 13th district,Articia Bomer,TAX,1974,FALSE
Michigan's 14th district,Brenda Lawrence,DEM,271370,TRUE
Michigan's 14th district,R. Vance Patrick,REP,62664,FALSE
Michigan's 14th district,Lisa Gioia,LIB,3737,FALSE
Michigan's 14th district,Philip Kolody,WCP,2534,FALSE
Michigan's 14th district,Clyde Shabazz,GRN,1998,FALSE
Minnesota's 1st district,Jim Hagedorn,REP,179234,TRUE
Minnesota's 1st district,Dan Feehan,DEM,167890,FALSE
Minnesota's 1st district,Bill Rood,GRP,21448,FALSE
Minnesota's 2nd district,Angie Craig,DEM,204534,TRUE
Minnesota's 2nd district,Tyler Kistner,REP,194954,FALSE
Minnesota's 2nd district,Adam Weeks,LMN,24751,FALSE
Minnesota's 3rd district,Dean Phillips,DEM,246666,TRUE
Minnesota's 3rd district,Kendall Qualls,REP,196625,FALSE
Minnesota's 4th district,Betty McCollum,DEM,245813,TRUE
Minnesota's 4th district,Gene Rechtzigel,REP,112730,FALSE
Minnesota's 4th district,Susan Pendergast Sindt,LMN,29537,FALSE
Minnesota's 5th district,Ilhan Omar,DEM,255924,TRUE
Minnesota's 5th district,Lacy Johnson,REP,102878,FALSE
Minnesota's 5th district,Michael Moore,LMN,37979,FALSE
Minnesota's 6th district,Tom Emmer,REP,270901,TRUE
Minnesota's 6th district,Tawnja Zahradka,DEM,140853,FALSE
Minnesota's 7th district,Michelle Fischbach,REP,194066,TRUE
Minnesota's 7th district,Collin Peterson,DEM,144840,FALSE
Minnesota's 7th district,Slater Johnson,LMN,17710,FALSE
Minnesota's 7th district,Rae Hart Anderson,GRP,6499,FALSE
Minnesota's 8th district,Pete Stauber,REP,223432,TRUE
Minnesota's 8th district,Quinn Nystrom,DEM,147853,FALSE
Minnesota's 8th district,Judith Schwartzbacker,GRP,22190,FALSE
Mississippi's 1st district,Trent Kelly,REP,228731,TRUE
Mississippi's 1st district,Antonia Eliason,DEM,103994,FALSE
Mississippi's 1st district, Write-ins,WRI,280,FALSE
Mississippi's 2nd district,Bennie Thompson,DEM,196331,TRUE
Mississippi's 2nd district,Brian Flowers,REP,101037,FALSE
Mississippi's 2nd district, Write-ins,WRI,203,FALSE
Mississippi's 3rd district,Michael Guest,REP,220547,TRUE
Mississippi's 3rd district,Dorothy Benford,DEM,119880,FALSE
Mississippi's 4th district,Steven Palazzo,REP,255960,TRUE
Mississippi's 4th district, Write-ins,WRI,8670,FALSE
Missouri's 1st district,Cori Bush,DEM,249087,TRUE
Missouri's 1st district,Anthony Rogers,REP,59940,FALSE
Missouri's 1st district,Alex Furman,LIB,6766,FALSE
Missouri's 2nd district,Ann Wagner,REP,233094,TRUE
Missouri's 2nd district,Jill Schupp,DEM,204468,FALSE
Missouri's 2nd district,Martin Schulte,LIB,11643,FALSE
Missouri's 2nd district, Write-ins,WRI,71,FALSE
Missouri's 3rd district,Blaine Luetkemeyer,REP,282424,TRUE
Missouri's 3rd district,Megan Rezabek,DEM,116109,FALSE
Missouri's 3rd district,Leonard Steinman,LIB,8328,FALSE
Missouri's 4th district,Vicky Hartzler,REP,245109,TRUE
Missouri's 4th district,Lindsey Simmons,DEM,107582,FALSE
Missouri's 4th district,Steven Koonse,LIB,9945,FALSE
Missouri's 5th district,Emanuel Cleaver,DEM,206209,TRUE
Missouri's 5th district,Ryan Derks,REP,135910,FALSE
Missouri's 5th district,Robin Dominick,LIB,9271,FALSE
Missouri's 6th district,Sam Graves,REP,259030,TRUE
Missouri's 6th district,Gena Ross,DEM,120876,FALSE
Missouri's 6th district,Jim Higgins,LIB,8157,FALSE
Missouri's 7th district,Billy Long,REP,254366,TRUE
Missouri's 7th district,Teresa Montseny,DEM,98059,FALSE
Missouri's 7th district,Kevin Craig,LIB,15565,FALSE
Missouri's 8th district,Jason Smith,REP,253646,TRUE
Missouri's 8th district,Kathy Ellis,DEM,70504,FALSE
Missouri's 8th district,Tom Schmitz,LIB,5846,FALSE
Montana at large,Matt Rosendale,REP,339169,TRUE
Montana at large,Kathleen Williams,DEM,262340,FALSE
Nebraska's 1st district,Jeff Fortenberry,REP,189006,TRUE
Nebraska's 1st district,Kate Bolz,DEM,119622,FALSE
Nebraska's 1st district,Dennis Grace,LIB,8938,FALSE
Nebraska's 2nd district,Don Bacon,REP,171071,TRUE
Nebraska's 2nd district,Kara Eastman,DEM,155706,FALSE
Nebraska's 2nd district,Tyler Schaeffer,LIB,10185,FALSE
Nebraska's 3rd district,Adrian Smith,REP,225194,TRUE
Nebraska's 3rd district,Mark Elworth,DEM,50699,FALSE
Nebraska's 3rd district,Dustin Hobbs,LIB,10931,FALSE
Nevada's 1st district,Dina Titus,DEM,137868,TRUE
Nevada's 1st district,Joyce Bentley,REP,74490,FALSE
Nevada's 1st district,Kamau Bakari,IAP,6190,FALSE
Nevada's 1st district,Robert Strawder,LIB,4665,FALSE
Nevada's 2nd district,Mark Amodei,REP,216078,TRUE
Nevada's 2nd district,Patricia Ackerman,DEM,155780,FALSE
Nevada's 2nd district,Janine Hansen,IAP,10815,FALSE
Nevada's 3rd district,Susie Lee,DEM,203421,TRUE
Nevada's 3rd district,Dan Rodimer,REP,190975,FALSE
Nevada's 3rd district,Steve Brown,LIB,12315,FALSE
Nevada's 3rd district,Ed Bridges,IAP,10541,FALSE
Nevada's 4th district,Steven Horsford,DEM,168457,TRUE
Nevada's 4th district,Jim Marchant,REP,152284,FALSE
Nevada's 4th district,Jonathan Esteban,LIB,7978,FALSE
Nevada's 4th district,Barry Rubinson,IAP,3750,FALSE
New Hampshire's 1st district,Chris Pappas,DEM,205606,TRUE
New Hampshire's 1st district,Matt Mowers,REP,185159,FALSE
New Hampshire's 1st district,Zachary Dumont,LIB,9747,FALSE
New Hampshire's 1st district, Write-ins,WRI,83,FALSE
New Hampshire's 2nd district,Ann Kuster,DEM,208289,TRUE
New Hampshire's 2nd district,Steve Negron,REP,168886,FALSE
New Hampshire's 2nd district,Andrew Olding,LIB,9119,FALSE
New Hampshire's 2nd district, Write-ins,WRI,53,FALSE
New Jersey's 1st district,Donald Norcross,DEM,238640,TRUE
New Jersey's 1st district,Claire Gustafson,REP,142777,FALSE
New Jersey's 2nd district,Jeff Van Drew,REP,183344,TRUE
New Jersey's 2nd district,Amy Kennedy,DEM,163342,FALSE
New Jersey's 2nd district,Jenna Harvey,IND,3615,FALSE
New Jersey's 2nd district,Jesse Ehrnstrom,LIB,2736,FALSE
New Jersey's 3rd district,Andrew Kim,DEM,227555,TRUE
New Jersey's 3rd district,David Richter,REP,192797,FALSE
New Jersey's 3rd district,Martin Weber,IND,3625,FALSE
New Jersey's 3rd district,Robert Shapiro,IND,1827,FALSE
New Jersey's 4th district,Chris Smith,REP,250260,TRUE
New Jersey's 4th district,Stephanie Schmid,DEM,161462,FALSE
